y	yend	x	xend	key	clickSelects	showSelected2	PANEL
-25.2	1.2	0.870778688578866	0.870778688578866	1 0.870778688578866	X1<0.870779	1	1
-25.2	1.2	0.879216786357574	0.879216786357574	1 0.879216786357574	X1<0.879217	1	1
-25.2	1.2	0.886360694770701	0.886360694770701	1 0.886360694770701	X1<0.886361	1	1
-25.2	1.2	0.891065689153038	0.891065689153038	1 0.891065689153038	X1<0.891066	1	1
-25.2	1.2	0.897059583687224	0.897059583687224	1 0.897059583687223	X1<0.897060	1	1
-25.2	1.2	0.901385988574475	0.901385988574475	1 0.901385988574475	X1<0.901386	1	1
-25.2	1.2	0.911538143409416	0.911538143409416	1 0.911538143409416	X1<0.911538	1	1
-25.2	1.2	0.924498238833621	0.924498238833621	1 0.924498238833621	X1<0.924498	1	1
-25.2	1.2	0.936597590218298	0.936597590218298	1 0.936597590218298	X1<0.936598	1	1
-25.2	1.2	0.943657148745842	0.943657148745842	1 0.943657148745842	X1<0.943657	1	1
-25.2	1.2	0.943940573488362	0.943940573488362	1 0.943940573488362	X1<0.943941	1	1
-25.2	1.2	0.944642927730456	0.944642927730456	1 0.944642927730456	X1<0.944643	1	1
-25.2	1.2	0.945256063947454	0.945256063947454	1 0.945256063947454	X1<0.945256	1	1
-25.2	1.2	0.948984158691019	0.948984158691019	1 0.948984158691019	X1<0.948984	1	1
-25.2	1.2	0.953166913008317	0.953166913008317	1 0.953166913008317	X1<0.953167	1	1
-25.2	1.2	0.958138818736188	0.958138818736188	1 0.958138818736188	X1<0.958139	1	1
-25.2	1.2	0.963201896403916	0.963201896403916	1 0.963201896403916	X1<0.963202	1	1
-25.2	1.2	0.964770773076452	0.964770773076452	1 0.964770773076452	X1<0.964771	1	1
-25.2	1.2	0.968648615060374	0.968648615060374	1 0.968648615060374	X1<0.968649	1	1
-25.2	1.2	0.973101663053967	0.973101663053967	1 0.973101663053967	X1<0.973102	1	1
-25.2	1.2	0.974826205405407	0.974826205405407	1 0.974826205405407	X1<0.974826	1	1
-25.2	1.2	0.97522279410623	0.97522279410623	1 0.97522279410623	X1<0.975223	1	1
-25.2	1.2	0.975939782219939	0.975939782219939	1 0.975939782219939	X1<0.975940	1	1
-25.2	1.2	0.976576837012544	0.976576837012544	1 0.976576837012544	X1<0.976577	1	1
-25.2	1.2	0.0188151668990031	0.0188151668990031	1 0.0188151668990031	X2<0.018815	1	2
-25.2	1.2	0.0208094870904461	0.0208094870904461	1 0.0208094870904461	X2<0.020809	1	2
-25.2	1.2	0.0262197692645714	0.0262197692645714	1 0.0262197692645714	X2<0.026220	1	2
-25.2	1.2	0.035634498577565	0.035634498577565	1 0.035634498577565	X2<0.035634	1	2
-25.2	1.2	0.0415357237216085	0.0415357237216085	1 0.0415357237216085	X2<0.041536	1	2
-25.2	1.2	0.0434497206006199	0.0434497206006199	1 0.0434497206006199	X2<0.043450	1	2
-25.2	1.2	0.0451416468713433	0.0451416468713433	1 0.0451416468713433	X2<0.045142	1	2
-25.2	1.2	0.0466683497652412	0.0466683497652412	1 0.0466683497652411	X2<0.046668	1	2
-25.2	1.2	0.0491241716081277	0.0491241716081277	1 0.0491241716081277	X2<0.049124	1	2
-25.2	1.2	0.0507984204450622	0.0507984204450622	1 0.0507984204450622	X2<0.050798	1	2
-25.2	1.2	0.0511909144697711	0.0511909144697711	1 0.0511909144697711	X2<0.051191	1	2
-25.2	1.2	0.051797786843963	0.051797786843963	1 0.051797786843963	X2<0.051798	1	2
-25.2	1.2	0.053510619327426	0.053510619327426	1 0.053510619327426	X2<0.053511	1	2
-25.2	1.2	0.056254719151184	0.056254719151184	1 0.056254719151184	X2<0.056255	1	2
-25.2	1.2	0.0579857123084366	0.0579857123084366	1 0.0579857123084366	X2<0.057986	1	2
-25.2	1.2	0.0643606571247801	0.0643606571247801	1 0.0643606571247801	X2<0.064361	1	2
-25.2	1.2	0.0716989304637536	0.0716989304637536	1 0.0716989304637536	X2<0.071699	1	2
-25.2	1.2	0.0767025802051649	0.0767025802051649	1 0.0767025802051648	X2<0.076703	1	2
-25.2	1.2	0.0806341447168961	0.0806341447168961	1 0.0806341447168961	X2<0.080634	1	2
-25.2	1.2	0.0850618543336168	0.0850618543336168	1 0.0850618543336168	X2<0.085062	1	2
-25.2	1.2	0.0894395762588829	0.0894395762588829	1 0.0894395762588829	X2<0.089440	1	2
-25.2	1.2	0.0921160676516593	0.0921160676516593	1 0.0921160676516593	X2<0.092116	1	2
-25.2	1.2	0.0948257141280919	0.0948257141280919	1 0.0948257141280919	X2<0.094826	1	2
-25.2	1.2	0.0983513841638342	0.0983513841638342	1 0.0983513841638342	X2<0.098351	1	2
-25.2	1.2	0.102576248929836	0.102576248929836	1 0.102576248929836	X2<0.102576	1	2
-25.2	1.2	0.10562568414025	0.10562568414025	1 0.10562568414025	X2<0.105626	1	2
-25.2	1.2	0.11029389151372	0.11029389151372	1 0.11029389151372	X2<0.110294	1	2
-25.2	1.2	0.120879433350638	0.120879433350638	1 0.120879433350638	X2<0.120879	1	2
